sample_id,pair_id,original_text,adversarial_text,label,perturbation_type,source,review_status,notes
adv_d5af9d957723c8f7,pair_fa76a857d51341b1,淘宝刷单兼职,淘@宝刷单兼职,ad,symbol_insertion,data/violation_sentences/ad.txt,verified,通过：语义保持；在“淘宝”内部插入符号，能够测试精确匹配的稳健性
adv_e99cc7e787ad85b6,pair_7f64c764c30b2c03,网站建设套餐,網站建设套餐,ad,traditional_simplified,data/violation_sentences/ad.txt,verified,通过：语义保持；精准将“网站”的首字转为繁体“網”，符合单字繁简混写扰动
adv_7f68d305962c2f78,pair_8490676cef345dc2,网红经纪公司,網红经纪公司,ad,traditional_simplified,data/violation_sentences/ad.txt,verified,通过：语义保持；首字转换正确，模拟了部分用户或自媒体故意转换繁体绕过
adv_993302f2483320b7,pair_2356fc04af0796ec,网贷口子推荐,網贷口子推荐,ad,traditional_simplified,data/violation_sentences/ad.txt,verified,通过：语义保持；黑产高发词“网贷”首字成功繁体化，能够起到抗精确匹配测试作用
adv_3ff49f8774478099,pair_993fcee54de29a88,免费领取试用装,免费领取试用装 example[.]com,ad,url_obfuscation,data/violation_sentences/ad.txt,rejected,拒绝：original_text 中不存在 URL，adversarial_text 是新增链接，属于 URL 插入而非 URL 混淆，并扩展了原始语义；建议重新生成“已有 URL→混淆 URL”的配对样本
adv_2cca745ec2f4dd01,pair_fa76a857d51341b1,淘宝刷单兼职,淘宝刷单兼职 example[.]com,ad,url_obfuscation,data/violation_sentences/ad.txt,rejected,拒绝：original_text 中不存在 URL，adversarial_text 是新增链接，属于 URL 插入而非 URL 混淆，并扩展了原始语义；建议重新生成“已有 URL→混淆 URL”的配对样本
adv_3fca4302e8e5bc1b,pair_a708de3c72cdc044,点击链接领奖品,点击链接领奖品 example[.]com,ad,url_obfuscation,data/violation_sentences/ad.txt,rejected,拒绝：original_text 中不存在 URL，adversarial_text 是新增链接，属于 URL 插入而非 URL 混淆，并扩展了原始语义；建议重新生成“已有 URL→混淆 URL”的配对样本
adv_ed433b1784e36ea4,pair_691cf9a2fddd1fe6,色情视频网站,色-情视频网站,porn,variant_character,data/violation_sentences/porn.txt,pending,待定：扰动有效但类型标错。插入连字符“-”应属 symbol_insertion，非异体/形近字替换
adv_402c71247fbf728a,pair_59b37935f43ac657,加我微信有福利,加我微-信有福利,ad,variant_character,data/violation_sentences/ad.txt,pending,待定：扰动有效但类型不符。中间加入了中划线，建议 perturbation_type 改为 symbol_insertion
adv_252acb239e93ead7,pair_18e98292e6d105af,二次元色情漫画,二次元色-情漫画,porn,variant_character,data/violation_sentences/porn.txt,pending,待定：符号扰动误标为字形变化。建议将类型修正为 symbol_insertion
