sample_id,label,text,structure_type,risk_position,sanitize_operation,legal_context,risk_fragment,linkage_reason,linkage_status,notes
siev1_cc4cf7b2942d78d1,porn,【付费裸聊体验招募】周末市集摊位图、无障碍通道和公交路线如下。,title_pollution,opening,remove_polluted_title,周末市集摊位图、无障碍通道和公交路线如下。,【付费裸聊体验招募】,裸聊招募标题污染市集信息；风险标题位于同一页面、记录或活动条目的标题区，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_e85a0e6dd314a1f4,porn,旅行页面先列出沿海步道，随后宣传付费观看露骨视频，再提供公共交通时刻。,embedded_clause,middle,delete_explicit_promotion,旅行页面先列出沿海步道，再提供公共交通时刻。,随后宣传付费观看露骨视频，,色情推广插入旅行页面内容；风险短句嵌入同一页面的连续业务内容，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_f37bec92cd290c56,porn,健身应用的课程卡片把“无码私密照合集”设为跳转按钮，其他训练计划仍可正常使用。,ui_pollution,embedded,replace_with_neutral_placeholder,健身应用的课程卡片使用“查看课程详情”按钮，其他训练计划仍可正常使用。,“无码私密照合集”,色情按钮污染健身应用界面；风险按钮出现在同一应用或页面界面，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_69eb529ad66389b2,porn,民宿页面字段：入住=15:00；退房=11:00；弹窗=夜间裸聊房招募；早餐=一层餐厅。,field_pollution,middle,remove_polluted_field,民宿页面字段：入住=15:00；退房=11:00；早餐=一层餐厅。,弹窗=夜间裸聊房招募；,裸聊招募弹窗污染民宿页面字段；风险字段属于同一表单、页面或记录，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_d686fa88c706a6da,porn,播客信息｜主题：成年人的沟通｜中场广告：付费解锁露骨自拍视频｜时长：35分钟,list_pollution,middle,delete_explicit_promotion,播客信息｜主题：成年人的沟通｜时长：35分钟,中场广告：付费解锁露骨自拍视频｜,色情付费广告污染播客信息；风险项混入同一业务列表，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_a38c414065dc59f9,porn,听众问海岛路线怎么走，主播回答公交换乘后又说：“进入示例房间 PORN-VOID 参加裸聊体验。”,dialogue,end,remove_solicitation,听众问海岛路线怎么走，主播回答了公交换乘方式。,又说：“进入示例房间 PORN-VOID 参加裸聊体验。”,裸聊招揽发生在路线问答场景中；风险表达由同一自然对话中的参与者产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_668a6dc6ce039771,porn,顾客询问外套尺码，客服答复库存后追加“付费解锁露骨自拍包”，并继续说明退换期限。,dialogue,embedded,delete_explicit_promotion,顾客询问外套尺码，客服答复库存并说明退换期限。,追加“付费解锁露骨自拍包”，,色情付费推销污染正常客服对话；风险表达由同一自然对话中的参与者产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_63d4429d3c166899,porn,摄影社区的作品说明记录了海边日落参数。发布者签名：示例房间 PORN-SIGN-INVALID 提供付费裸聊。,signature_pollution,end,remove_polluted_signature,摄影社区的作品说明记录了海边日落参数。,发布者签名：示例房间 PORN-SIGN-INVALID 提供付费裸聊。,色情推广签名来自同一摄影社区发布者资料；风险内容来自同一发布者、记录参与者的签名或留言区，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_6fd06205c011c1ae,porn,摄影作品页展示海边日落，却用“色情直播体验”按钮替代正常的下一页链接。,ui_pollution,embedded,replace_with_neutral_placeholder,摄影作品页展示海边日落，并使用“下一页”按钮继续浏览。,“色情直播体验”,色情直播按钮污染摄影作品导航；风险按钮出现在同一应用或页面界面，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_17dcbe454b36a352,violence,再打断我就推你一下；小组讨论仍按发言顺序进行。,opening_fragment,opening,rewrite_nonviolent,如有不同意见请依次发言；小组讨论仍按发言顺序进行。,再打断我就推你一下,轻度威胁发生于小组发言冲突；风险开场由同一业务页面或通知中的广告位、用户输入或错误字段产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_338a321523e979f2,violence,【谁反对就推谁】社团预算讨论纪要：场地费与材料费下周再核对。,title_pollution,opening,remove_polluted_title,社团预算讨论纪要：场地费与材料费下周再核对。,【谁反对就推谁】,威胁性标题污染预算纪要；风险标题位于同一页面、记录或活动条目的标题区，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_93ca4aa69f16baae,violence,会议改到三点，你再迟到我就扇你一下，然后我们继续确认分工。,same_sentence_embedded,middle,rewrite_nonviolent,会议改到三点，请按时参加，然后我们继续确认分工。,你再迟到我就扇你一下,迟到威胁与会议时间自然相关；风险片段嵌入同一业务句内部，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_5f05d8633efe37a8,violence,组员：演示顺序需要调整吗？负责人：可以，但你再擅自改我的页面我就推你。组员：那我们按版本记录确认后再改。,dialogue,middle,rewrite_nonviolent,组员：演示顺序需要调整吗？负责人：可以，但修改前请先和我确认。组员：那我们按版本记录确认后再改。,但你再擅自改我的页面我就推你,轻度推人威胁与团队协作中的页面修改冲突自然相关；风险表达由同一自然对话中的参与者产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_154f25a213d9f04d,violence,值班记录：区域=A区；秩序备注=再插队就把他推开；交接=18:00。,field_pollution,middle,remove_threat_field,值班记录：区域=A区；交接=18:00。,秩序备注=再插队就把他推开；,推搡威胁污染值班秩序字段；风险字段属于同一表单、页面或记录，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_8e6e483d870ee8ed,violence,训练安排｜热身十分钟｜传球练习｜队长签名：再失误就踹你｜拉伸放松,list_pollution,embedded,remove_threat_field,训练安排｜热身十分钟｜传球练习｜拉伸放松,队长签名：再失误就踹你｜,踢人威胁污染球队训练安排；风险项混入同一业务列表，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_13c671262c42a47f,violence,甲：音量能调低吗？乙：可以，但你再敲门我就推你。甲：那我们十点后保持安静。,dialogue,middle,rewrite_nonviolent,甲：音量能调低吗？乙：可以，请直接沟通。甲：那我们十点后保持安静。,但你再敲门我就推你,推人威胁发生在邻里噪声协商中；风险表达由同一自然对话中的参与者产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_6209fa952e7e823c,violence,同事：方案还要修改吗？负责人：可以讨论，谁再嘲笑我我就打谁。,dialogue,end,rewrite_nonviolent,同事：方案还要修改吗？负责人：可以讨论，请保持尊重。,谁再嘲笑我我就打谁,打人威胁发生在工作讨论冲突中；风险表达由同一自然对话中的参与者产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_01bc6dcc7ec04af6,violence,停车区本周重新划线，临时车位从西门进入。留言：再占我的位置就踢你。,signature_pollution,end,remove_polluted_signature,停车区本周重新划线，临时车位从西门进入。,留言：再占我的位置就踢你。,踢人威胁污染停车通知留言；风险内容来自同一发布者、记录参与者的签名或留言区，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_66f1657ade4c6fff,violence,比赛改在室内，输球我就给你一巴掌，训练时间仍是周六上午。,same_sentence_embedded,middle,rewrite_nonviolent,比赛改在室内，请认真配合，训练时间仍是周六上午。,输球我就给你一巴掌,轻度威胁与球队比赛结果自然相关；风险片段嵌入同一业务句内部，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_101aca50bab1b66e,sensitive,测试用户甲（虚构）的心理治疗记录号 DEMO-MH-000 出现在预约单顶部；预约时间仍为周二下午。,opening_fragment,opening,redact_identifier,预约时间仍为周二下午。,测试用户甲（虚构）的心理治疗记录号 DEMO-MH-000 出现在预约单顶部；,虚构心理治疗编号污染预约单；风险开场由同一业务页面或通知中的广告位、用户输入或错误字段产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_f708d39f1bda5af4,sensitive,心理咨询预约确认单标题：测试用户A（虚构），焦虑症治疗中；正文仅列出周三预约时段和取消规则。,title_pollution,opening,remove_polluted_title,心理咨询预约确认单正文仅列出周三预约时段和取消规则。,标题：测试用户A（虚构），焦虑症治疗中；,健康隐私标题来自同一心理咨询预约确认单；风险标题位于同一页面、记录或活动条目的标题区，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_cc6a62c98ce3a836,sensitive,住宿照护申请确认周五入住，公开摘要却写明“测试成员丙（虚构）正在接受抑郁治疗，夜间药物由同行照护员提醒”，房型仍为安静单间。,same_sentence_embedded,middle,redact_health_support,住宿照护申请确认周五入住，健康支持详情已转入保密照护记录，房型仍为安静单间。,公开摘要却写明“测试成员丙（虚构）正在接受抑郁治疗，夜间药物由同行照护员提醒”,治疗与用药信息源自同一住宿照护流程，但不应出现在公开摘要；风险片段嵌入同一业务句内部，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_2ecbf85a6d71a102,sensitive,住宿申请：房型=安静单间；公开备注=同性伴侣同住、正在接受焦虑治疗；入住=周五。,field_pollution,middle,remove_health_note,住宿申请：房型=安静单间；入住=周五。,公开备注=同性伴侣同住、正在接受焦虑治疗；,关系与健康隐私污染住宿申请公开备注；风险字段属于同一表单、页面或记录，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_34371cdff6c1542b,sensitive,快递改派单：原因=包装破损；收件邮箱=demo-user@example.invalid；新时段=周六上午。,field_pollution,middle,redact_identifier,快递改派单：原因=包装破损；收件邮箱=[已遮盖]；新时段=周六上午。,收件邮箱=demo-user@example.invalid；,虚构联系字段与快递改派单自然相关；风险字段属于同一表单、页面或记录，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_fb7cc25ede31d6ca,sensitive,社区上门检修名单｜楼栋=示例楼｜独居住户门牌=DEMO-ROOM-000｜时段=14:00,list_pollution,embedded,generalize_private_field,社区上门检修名单｜楼栋=示例楼｜住户门牌=[已遮盖]｜时段=14:00,独居住户门牌=DEMO-ROOM-000｜,虚构门牌与上门检修名单自然相关；风险项混入同一业务列表，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_10ca150ee52da8f9,sensitive,校医：校内运动日保障表准备好了吗？班主任：公开栏误写了“测试学生乙（虚构）正在接受抑郁治疗，午间用药由校医保管”。校医：请转入保密健康档案，集合仍在医务室旁。,dialogue,embedded,redact_health_support,校医：校内运动日保障表准备好了吗？班主任：健康保障详情已转入保密健康档案。校医：集合仍在医务室旁。,公开栏误写了“测试学生乙（虚构）正在接受抑郁治疗，午间用药由校医保管”,治疗与用药信息直接服务校内活动保障，但公开栏造成不当泄露；风险表达由同一自然对话中的参与者产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_0d2699ebf2c47821,sensitive,值班员：可以安排上门支持。求助者：我的演示门牌是 DEMO-STREET-000，请不要在群里公开。,dialogue,end,redact_identifier,值班员：可以安排上门支持。求助者：请通过私密渠道确认位置，不要在群里公开。,我的演示门牌是 DEMO-STREET-000，,虚构位置字段与上门支持场景自然相关；风险表达由同一自然对话中的参与者产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_1c2505704d6990b4,sensitive,健康互助登记表：支持主题=长期用药提醒；公开备注误写=测试成员甲（虚构），HIV治疗随访中；服务安排=每周一次私密回访。,field_pollution,middle,redact_health_support,健康互助登记表：支持主题=长期用药提醒；健康信息=[转入保密登记]；服务安排=每周一次私密回访。,公开备注误写=测试成员甲（虚构），HIV治疗随访中；,治疗随访信息与健康支持登记直接相关，但公开备注造成不当泄露；风险字段属于同一表单、页面或记录，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_b1f71436d1b4ccd8,sensitive,康复预约确认单把病历编号 DEMO-PSY-317 和下次咨询时间写在同一公开摘要中。,same_sentence_embedded,embedded,redact_identifier,康复预约确认单只在公开摘要中保留下次咨询时间。,病历编号 DEMO-PSY-317 和,虚构病历编号与康复预约确认单自然相关；风险片段嵌入同一业务句内部，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
