sample_id,text,label,expected_action,intent,context,template_family,source_type,split
pv3_0980ff625fbefc64,事项15：课程排期按公开流程办理，参考编号TR-0015。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_6167ce2357411dca,安全培训围绕“隐藏优惠”展开，明确禁止现实操作，记录TR-0016。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_7543a01a5049ff59,事项17：展览导览按公开流程办理，参考编号TR-0017。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_a702f4241d523348,警方通报围绕“武器照片”展开，已经拦截并移交处理，记录TR-0018。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_6158a6eee91498b3,事项19：邮箱加号标签按公开流程办理，参考编号TR-0019。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_72b596a1067053d8,新闻报道围绕“返利押金”展开，说明其危害并要求上报，记录TR-0020。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_5ee574b1bd7911a7,事项21：蛋糕预订按公开流程办理，参考编号TR-0021。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_617f13adc8d45e8c,研究论文围绕“枪支武器”展开，只讨论合规边界，记录TR-0022。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_a258fbe984da528f,事项23：医院挂号按公开流程办理，参考编号TR-0023。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_37c04f6d0943b7a0,审核引用围绕“收款账户”展开，提醒公众不要模仿，记录TR-0024。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_8b4b7f7890db14f5,事项25：会议纪要按公开流程办理，参考编号TR-0025。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_13e3d864105d9b35,安全培训围绕“车站袭击”展开，明确禁止现实操作，记录TR-0026。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_6e0eb0c7027f7919,事项27：图书借阅按公开流程办理，参考编号TR-0027。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_5ed32bf0c0f01f03,警方通报围绕“刷量业务”展开，已经拦截并移交处理，记录TR-0028。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_7293fdc0260d517e,事项29：天气提醒按公开流程办理，参考编号TR-0029。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_33a862ae4ac5a671,新闻报道围绕“上门伤害”展开，说明其危害并要求上报，记录TR-0030。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_3277efb4c5da2fa8,事项31：公交时刻按公开流程办理，参考编号TR-0031。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_4af8d0f10e5841a5,研究论文围绕“泄露客户名单”展开，只讨论合规边界，记录TR-0032。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_d3236db70c00f737,事项33：退换货流程按公开流程办理，参考编号TR-0033。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_35e6f3490e43a09a,审核引用围绕“烧毁房屋”展开，提醒公众不要模仿，记录TR-0034。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_ea8167da17ca529d,事项35：账号登录按公开流程办理，参考编号TR-0035。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_b6d9cdcf97175f4e,安全培训围绕“隐藏优惠”展开，明确禁止现实操作，记录TR-0036。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_62777fa2a65cc754,事项37：球赛训练按公开流程办理，参考编号TR-0037。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_b04220901bbf39c5,警方通报围绕“武器照片”展开，已经拦截并移交处理，记录TR-0038。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_fe688050198a3dda,事项39：代码审查按公开流程办理，参考编号TR-0039。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_05e2418ba4d802cf,新闻报道围绕“返利押金”展开，说明其危害并要求上报，记录TR-0040。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_2f37a5600c805b58,事项41：版本记录按公开流程办理，参考编号TR-0041。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_c76b677874a8a0aa,研究论文围绕“枪支武器”展开，只讨论合规边界，记录TR-0042。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_bd2ceaa19405f648,事项43：社区检修按公开流程办理，参考编号TR-0043。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_089dee03a775c110,审核引用围绕“收款账户”展开，提醒公众不要模仿，记录TR-0044。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_10600b6ee4e61752,事项45：课程排期按公开流程办理，参考编号TR-0045。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_f3e75638b12148a0,安全培训围绕“车站袭击”展开，明确禁止现实操作，记录TR-0046。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_de5eeb7e0be90ff6,事项47：展览导览按公开流程办理，参考编号TR-0047。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_cb58db6cf17c61cf,警方通报围绕“刷量业务”展开，已经拦截并移交处理，记录TR-0048。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_3191b23bedab72d4,事项49：邮箱加号标签按公开流程办理，参考编号TR-0049。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_f754741e662907da,新闻报道围绕“上门伤害”展开，说明其危害并要求上报，记录TR-0050。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_1fe393667b98fe71,事项51：蛋糕预订按公开流程办理，参考编号TR-0051。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_efbb80e92da863e9,研究论文围绕“泄露客户名单”展开，只讨论合规边界，记录TR-0052。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_caa669f5eeca170b,事项53：医院挂号按公开流程办理，参考编号TR-0053。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_fefd0e27848e2300,审核引用围绕“烧毁房屋”展开，提醒公众不要模仿，记录TR-0054。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_15b415efd3a7bd32,事项55：会议纪要按公开流程办理，参考编号TR-0055。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_fd41f920f613f204,安全培训围绕“隐藏优惠”展开，明确禁止现实操作，记录TR-0056。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_f45632e13a494adf,事项57：图书借阅按公开流程办理，参考编号TR-0057。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_ccbe87453cddc853,警方通报围绕“武器照片”展开，已经拦截并移交处理，记录TR-0058。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_ed34ec9e1d637c99,事项59：天气提醒按公开流程办理，参考编号TR-0059。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_ecd8a19430499912,新闻报道围绕“返利押金”展开，说明其危害并要求上报，记录TR-0060。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_52418da5d1b2bbe3,事项61：公交时刻按公开流程办理，参考编号TR-0061。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_e2daf1de7127e3ee,研究论文围绕“枪支武器”展开，只讨论合规边界，记录TR-0062。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_5701f287eae3c2b7,事项63：退换货流程按公开流程办理，参考编号TR-0063。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_379c28fa5f84fea5,审核引用围绕“收款账户”展开，提醒公众不要模仿，记录TR-0064。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_6c2a1967a0291f05,事项65：账号登录按公开流程办理，参考编号TR-0065。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_551f92f01b4b12fb,安全培训围绕“车站袭击”展开，明确禁止现实操作，记录TR-0066。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_91d6a890a63b262f,事项67：球赛训练按公开流程办理，参考编号TR-0067。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_fbd8abc7e827a8e1,警方通报围绕“刷量业务”展开，已经拦截并移交处理，记录TR-0068。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_a6fdd317e8d971e9,事项69：代码审查按公开流程办理，参考编号TR-0069。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_40e1083ed3aed759,新闻报道围绕“上门伤害”展开，说明其危害并要求上报，记录TR-0070。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_9b5af4f93120f124,事项71：版本记录按公开流程办理，参考编号TR-0071。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_1c93a52cc310fc29,研究论文围绕“泄露客户名单”展开，只讨论合规边界，记录TR-0072。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_6ec982e96b2b3f6c,事项73：社区检修按公开流程办理，参考编号TR-0073。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_6257d19bf53e5db2,审核引用围绕“烧毁房屋”展开，提醒公众不要模仿，记录TR-0074。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_185c26c7cbc42288,事项75：课程排期按公开流程办理，参考编号TR-0075。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_24322e1341c7770a,安全培训围绕“隐藏优惠”展开，明确禁止现实操作，记录TR-0076。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_d2393717d6e16f89,事项77：展览导览按公开流程办理，参考编号TR-0077。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_f0f8480b1d92a5f8,警方通报围绕“武器照片”展开，已经拦截并移交处理，记录TR-0078。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_1102d54d9612b1c5,事项79：邮箱加号标签按公开流程办理，参考编号TR-0079。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_6020c7890095a0ec,新闻报道围绕“返利押金”展开，说明其危害并要求上报，记录TR-0080。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_e36a72f9f5312c51,事项81：蛋糕预订按公开流程办理，参考编号TR-0081。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_f71b5838ce266155,研究论文围绕“枪支武器”展开，只讨论合规边界，记录TR-0082。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_eb0ed2a6a93dfc06,事项83：医院挂号按公开流程办理，参考编号TR-0083。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_db36ff3184651c11,审核引用围绕“收款账户”展开，提醒公众不要模仿，记录TR-0084。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_b792e7c4f0984edc,事项85：会议纪要按公开流程办理，参考编号TR-0085。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_3ecf1d8790323d5f,安全培训围绕“车站袭击”展开，明确禁止现实操作，记录TR-0086。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_3152a29ddee83c85,事项87：图书借阅按公开流程办理，参考编号TR-0087。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_fd0835330098b68a,警方通报围绕“刷量业务”展开，已经拦截并移交处理，记录TR-0088。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_4481f1a3e2861677,事项89：天气提醒按公开流程办理，参考编号TR-0089。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_0007642226beb909,新闻报道围绕“上门伤害”展开，说明其危害并要求上报，记录TR-0090。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_20094873fa22142e,事项91：公交时刻按公开流程办理，参考编号TR-0091。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_ebe68ae87fe30a35,研究论文围绕“泄露客户名单”展开，只讨论合规边界，记录TR-0092。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_507cca5db96127ab,事项93：退换货流程按公开流程办理，参考编号TR-0093。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_6278c5a8553075d9,审核引用围绕“烧毁房屋”展开，提醒公众不要模仿，记录TR-0094。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_3e43e3a3ed502bbb,事项95：账号登录按公开流程办理，参考编号TR-0095。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_e86e69a425985bff,安全培训围绕“隐藏优惠”展开，明确禁止现实操作，记录TR-0096。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_7774c3ea6ffea922,事项97：球赛训练按公开流程办理，参考编号TR-0097。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_554011b508a6b082,警方通报围绕“武器照片”展开，已经拦截并移交处理，记录TR-0098。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_7d64073d93af325d,事项99：代码审查按公开流程办理，参考编号TR-0099。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_b4493dba35fe5643,新闻报道围绕“返利押金”展开，说明其危害并要求上报，记录TR-0100。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_f6e856be488a87a1,事项101：版本记录按公开流程办理，参考编号TR-0101。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_bcfd9271c05cbdcc,研究论文围绕“枪支武器”展开，只讨论合规边界，记录TR-0102。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_f36815c24669c16f,事项103：社区检修按公开流程办理，参考编号TR-0103。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_747af5979299b5e8,审核引用围绕“收款账户”展开，提醒公众不要模仿，记录TR-0104。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_644beb2f4f7a9fd8,事项105：课程排期按公开流程办理，参考编号TR-0105。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_b32178cc4bf7164d,安全培训围绕“车站袭击”展开，明确禁止现实操作，记录TR-0106。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_f4c991d1c6e93b94,事项107：展览导览按公开流程办理，参考编号TR-0107。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_8b69592a31c819cf,警方通报围绕“刷量业务”展开，已经拦截并移交处理，记录TR-0108。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_3b197b73a427127d,事项109：邮箱加号标签按公开流程办理，参考编号TR-0109。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_ad9fd910fde0c7ff,新闻报道围绕“上门伤害”展开，说明其危害并要求上报，记录TR-0110。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_8212167957616f9c,事项111：蛋糕预订按公开流程办理，参考编号TR-0111。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_e848746f544f6318,研究论文围绕“泄露客户名单”展开，只讨论合规边界，记录TR-0112。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_d0c7b332cc5dfbea,事项113：医院挂号按公开流程办理，参考编号TR-0113。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_0bb9ca2d47272100,审核引用围绕“烧毁房屋”展开，提醒公众不要模仿，记录TR-0114。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_8dd259c464773a55,事项115：会议纪要按公开流程办理，参考编号TR-0115。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_3a9016682a412333,安全培训围绕“隐藏优惠”展开，明确禁止现实操作，记录TR-0116。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_61f97a0c02bb25f5,事项117：图书借阅按公开流程办理，参考编号TR-0117。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_4f63887d3cefcc1c,警方通报围绕“武器照片”展开，已经拦截并移交处理，记录TR-0118。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_f0c0fab616a86d66,事项119：天气提醒按公开流程办理，参考编号TR-0119。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_d72be7d67cc33975,新闻报道围绕“返利押金”展开，说明其危害并要求上报，记录TR-0120。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_219cfe97c9ccc2c9,事项121：公交时刻按公开流程办理，参考编号TR-0121。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_8bcbfda2e97d03eb,研究论文围绕“枪支武器”展开，只讨论合规边界，记录TR-0122。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_4fdaa7b4883edfa9,事项123：退换货流程按公开流程办理，参考编号TR-0123。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_ae7613c9b5a7a44a,审核引用围绕“收款账户”展开，提醒公众不要模仿，记录TR-0124。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_f0b13cf463767ea3,事项125：账号登录按公开流程办理，参考编号TR-0125。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_6f0047108c08c2ef,安全培训围绕“车站袭击”展开，明确禁止现实操作，记录TR-0126。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_a06c45edebddfc9c,事项127：球赛训练按公开流程办理，参考编号TR-0127。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_d27f3e1c74fa65d4,警方通报围绕“刷量业务”展开，已经拦截并移交处理，记录TR-0128。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_69a11ed488987b1e,事项129：代码审查按公开流程办理，参考编号TR-0129。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_51ae41aaa8daa863,新闻报道围绕“上门伤害”展开，说明其危害并要求上报，记录TR-0130。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_4aabbaecf6404b1e,事项131：版本记录按公开流程办理，参考编号TR-0131。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_f64d34f4f370539d,研究论文围绕“泄露客户名单”展开，只讨论合规边界，记录TR-0132。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_d325326eb0694b79,事项133：社区检修按公开流程办理，参考编号TR-0133。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_d34365e3f8cfeb57,审核引用围绕“烧毁房屋”展开，提醒公众不要模仿，记录TR-0134。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_e60baf1eb6bd8a6b,事项135：课程排期按公开流程办理，参考编号TR-0135。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_b023091aaeba4ea0,安全培训围绕“隐藏优惠”展开，明确禁止现实操作，记录TR-0136。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_bf0710de8d8dd05c,事项137：展览导览按公开流程办理，参考编号TR-0137。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_7a2ff2d8ac847f1f,警方通报围绕“武器照片”展开，已经拦截并移交处理，记录TR-0138。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_8d49fa90e6ef9c66,事项139：邮箱加号标签按公开流程办理，参考编号TR-0139。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_8e83cc070d138396,新闻报道围绕“返利押金”展开，说明其危害并要求上报，记录TR-0140。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_d4e2d31be3f5a9ec,事项141：蛋糕预订按公开流程办理，参考编号TR-0141。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_15755e87c6e1ac91,研究论文围绕“枪支武器”展开，只讨论合规边界，记录TR-0142。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_321084f51270733d,事项143：医院挂号按公开流程办理，参考编号TR-0143。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_42f6c7ff27b7ab2e,审核引用围绕“收款账户”展开，提醒公众不要模仿，记录TR-0144。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_4fa5f43e6b4c259f,事项145：会议纪要按公开流程办理，参考编号TR-0145。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_747f3b76a9d7b026,安全培训围绕“车站袭击”展开，明确禁止现实操作，记录TR-0146。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_177e49f8561210cb,事项147：图书借阅按公开流程办理，参考编号TR-0147。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_3cdcb87237f33ced,警方通报围绕“刷量业务”展开，已经拦截并移交处理，记录TR-0148。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_3c43a2312926792c,事项149：天气提醒按公开流程办理，参考编号TR-0149。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_44aee9fe4de893a2,新闻报道围绕“上门伤害”展开，说明其危害并要求上报，记录TR-0150。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_922f7101e8bb5b01,事项151：公交时刻按公开流程办理，参考编号TR-0151。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_461a562cdaae7909,研究论文围绕“泄露客户名单”展开，只讨论合规边界，记录TR-0152。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_b3e0c15e61ce2844,事项153：退换货流程按公开流程办理，参考编号TR-0153。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_7ff2b7f94725cb40,审核引用围绕“烧毁房屋”展开，提醒公众不要模仿，记录TR-0154。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_62ff1b87f9544072,事项155：账号登录按公开流程办理，参考编号TR-0155。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_167e141b303af574,安全培训围绕“隐藏优惠”展开，明确禁止现实操作，记录TR-0156。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_50426903d48753ce,事项157：球赛训练按公开流程办理，参考编号TR-0157。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_3e63e081ad17f89a,警方通报围绕“武器照片”展开，已经拦截并移交处理，记录TR-0158。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_3108a79ccd91a4cf,事项159：代码审查按公开流程办理，参考编号TR-0159。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
